date, value,value2
"July 1, 1954",1.13,
"July 2, 1954",1.25,
"July 3, 1954",1.25,
"July 4, 1954",1.25,
"July 5, 1954",0.88,
"July 6, 1954",0.25,
"July 7, 1954",1,
"July 8, 1954",1.25,
"July 9, 1954",1.25,
"July 10, 1954",1.25,
"July 11, 1954",1.25,
"July 12, 1954",1.25,
"July 13, 1954",1.13,
"July 14, 1954",1.13,
"July 15, 1954",0.75,
"July 16, 1954",0.75,
"July 17, 1954",0.75,
"July 18, 1954",0.75,
"July 19, 1954",0.5,
"July 20, 1954",0.25,
"July 21, 1954",0.25,
"July 22, 1954",0.75,
"July 23, 1954",0.75,
"July 24, 1954",0.75,
"July 25, 1954",0.75,
"July 26, 1954",0.75,
"July 27, 1954",0.38,
"July 28, 1954",0.25,
"July 29, 1954",0.38,
"July 30, 1954",0.25,
"July 31, 1954",0.25,
"August 1, 1954",0.25,
"August 2, 1954",0.38,
"August 3, 1954",0.25,
"August 4, 1954",0.13,
"August 5, 1954",0.75,
"August 6, 1954",1.38,
"August 7, 1954",1.38,
"August 8, 1954",1.38,
"August 9, 1954",1.38,
"August 10, 1954",1.44,
"August 11, 1954",1.44,
"August 12, 1954",1.38,
"August 13, 1954",1.44,
"August 14, 1954",1.44,
"August 15, 1954",1.44,
"August 16, 1954",1.38,
"August 17, 1954",1.38,
"August 18, 1954",1.44,
"August 19, 1954",1.38,
"August 20, 1954",1.44,
"August 21, 1954",1.44,
"August 22, 1954",1.44,
"August 23, 1954",1.44,
"August 24, 1954",1.38,
"August 25, 1954",1.38,
"August 26, 1954",1.25,
"August 27, 1954",1.25,
"August 28, 1954",1.25,
"August 29, 1954",1.25,
"August 30, 1954",1.44,
"August 31, 1954",1.44,
"September 1, 1954",1.44,
"September 2, 1954",1.38,
"September 3, 1954",1.38,
"September 4, 1954",1.38,
"September 5, 1954",1.38,
"September 6, 1954",1,
"September 7, 1954",1.13,
"September 8, 1954",0.88,
"September 9, 1954",1.25,
"September 10, 1954",1.25,
"September 11, 1954",1.25,
"September 12, 1954",1.25,
"September 13, 1954",1.38,
"September 14, 1954",1.25,
"September 15, 1954",1,
"September 16, 1954",1,
"September 17, 1954",0.5,
"September 18, 1954",0.5,
"September 19, 1954",0.5,
"September 20, 1954",0.5,
"September 21, 1954",0.5,
"September 22, 1954",0.38,
"September 23, 1954",0.75,
"September 24, 1954",1.13,
"September 25, 1954",1.13,
"September 26, 1954",1.13,
"September 27, 1954",1.25,
"September 28, 1954",1.25,
"September 29, 1954",1.44,
"September 30, 1954",1.44,
"October 1, 1954",0.5,
"October 2, 1954",0.5,
"October 3, 1954",0.5,
"October 4, 1954",0.5,
"October 5, 1954",0.25,
"October 6, 1954",0.13,
"October 7, 1954",1.25,
"October 8, 1954",1.25,
"October 9, 1954",1.25,
"October 10, 1954",1.25,
"October 11, 1954",1.25,
"October 12, 1954",1.25,
"October 13, 1954",1.38,
"October 14, 1954",1.38,
"October 15, 1954",1,
"October 16, 1954",1,
"October 17, 1954",1,
"October 18, 1954",0.38,
"October 19, 1954",0.38,
"October 20, 1954",0.25,
"October 21, 1954",1,
"October 22, 1954",0.63,
"October 23, 1954",0.63,
"October 24, 1954",0.63,
"October 25, 1954",1,
"October 26, 1954",0.75,
"October 27, 1954",0.63,
"October 28, 1954",1,
"October 29, 1954",1.13,
"October 30, 1954",1.13,
"October 31, 1954",1.13,
"November 1, 1954",1.38,
"November 2, 1954",1.38,
"November 3, 1954",1.13,
"November 4, 1954",1,
"November 5, 1954",0.25,
"November 6, 1954",0.25,
"November 7, 1954",0.25,
"November 8, 1954",0.25,
"November 9, 1954",0.13,
"November 10, 1954",0.13,
"November 11, 1954",0.5,
"November 12, 1954",0.5,
"November 13, 1954",0.5,
"November 14, 1954",0.5,
"November 15, 1954",0.13,
"November 16, 1954",0.13,
"November 17, 1954",0.5,
"November 18, 1954",1,
"November 19, 1954",0.88,
"November 20, 1954",0.88,
"November 21, 1954",0.88,
"November 22, 1954",1,
"November 23, 1954",1.44,
"November 24, 1954",1.44,
"November 25, 1954",1.44,
"November 26, 1954",1.44,
"November 27, 1954",1.44,
"November 28, 1954",1.44,
"November 29, 1954",1.44,
"November 30, 1954",1.38,
"December 1, 1954",1.25,
"December 2, 1954",1.38,
"December 3, 1954",1.44,
"December 4, 1954",1.44,
"December 5, 1954",1.44,
"December 6, 1954",1.44,
"December 7, 1954",1.38,
"December 8, 1954",1.44,
"December 9, 1954",1.25,
"December 10, 1954",1.44,
"December 11, 1954",1.44,
"December 12, 1954",1.44,
"December 13, 1954",1.44,
"December 14, 1954",1.44,
"December 15, 1954",0.5,
"December 16, 1954",1.25,
"December 17, 1954",1.25,
"December 18, 1954",1.25,
"December 19, 1954",1.25,
"December 20, 1954",1.25,
"December 21, 1954",1.25,
"December 22, 1954",0.75,
"December 23, 1954",1,
"December 24, 1954",1,
"December 25, 1954",1,
"December 26, 1954",1,
"December 27, 1954",1.44,
"December 28, 1954",1.44,
"December 29, 1954",1.44,
"December 30, 1954",1.44,
"December 31, 1954",1.44,
"January 1, 1955",1.44,
"January 2, 1955",1.44,
"January 3, 1955",1.44,
"January 4, 1955",1.25,
"January 5, 1955",1,
"January 6, 1955",1.25,
"January 7, 1955",1.44,
"January 8, 1955",1.44,
"January 9, 1955",1.44,
"January 10, 1955",1.44,
"January 11, 1955",1.44,
"January 12, 1955",1.44,
"January 13, 1955",1.44,
"January 14, 1955",1.44,
"January 15, 1955",1.44,
"January 16, 1955",1.44,
"January 17, 1955",1.44,
"January 18, 1955",1.38,
"January 19, 1955",1,
"January 20, 1955",1.44,
"January 21, 1955",1.44,
"January 22, 1955",1.44,
"January 23, 1955",1.44,
"January 24, 1955",1.44,
"January 25, 1955",1.25,
"January 26, 1955",1.44,
"January 27, 1955",1.44,
"January 28, 1955",1.44,
"January 29, 1955",1.44,
"January 30, 1955",1.44,
"January 31, 1955",1.44,
"February 1, 1955",1.44,
"February 2, 1955",1.44,
"February 3, 1955",1.44,
"February 4, 1955",1.44,
"February 5, 1955",1.44,
"February 6, 1955",1.44,
"February 7, 1955",1.38,
"February 8, 1955",1,
"February 9, 1955",0.75,
"February 10, 1955",1,
"February 11, 1955",1.25,
"February 12, 1955",1.25,
"February 13, 1955",1.25,
"February 14, 1955",0.75,
"February 15, 1955",1,
"February 16, 1955",1.44,
"February 17, 1955",1.44,
"February 18, 1955",1.44,
"February 19, 1955",1.44,
"February 20, 1955",1.44,
"February 21, 1955",1.25,
"February 22, 1955",1.25,
"February 23, 1955",1,
"February 24, 1955",1.44,
"February 25, 1955",1.44,
"February 26, 1955",1.44,
"February 27, 1955",1.44,
"February 28, 1955",1.44,
"March 1, 1955",1.44,
"March 2, 1955",1,
"March 3, 1955",1.25,
"March 4, 1955",1.44,
"March 5, 1955",1.44,
"March 6, 1955",1.44,
"March 7, 1955",1.44,
"March 8, 1955",1.44,
"March 9, 1955",1.44,
"March 10, 1955",1.44,
"March 11, 1955",1.44,
"March 12, 1955",1.44,
"March 13, 1955",1.44,
"March 14, 1955",1.44,
"March 15, 1955",1,
"March 16, 1955",0.5,
"March 17, 1955",1.44,
"March 18, 1955",1.44,
"March 19, 1955",1.44,
"March 20, 1955",1.44,
"March 21, 1955",1.44,
"March 22, 1955",1.25,
"March 23, 1955",0.75,
"March 24, 1955",1.44,
"March 25, 1955",1.44,
"March 26, 1955",1.44,
"March 27, 1955",1.44,
"March 28, 1955",1.44,
"March 29, 1955",1.44,
"March 30, 1955",1.44,
"March 31, 1955",1.44,
"April 1, 1955",1.44,
"April 2, 1955",1.44,
"April 3, 1955",1.44,
"April 4, 1955",1.44,
"April 5, 1955",1.44,
"April 6, 1955",1.44,
"April 7, 1955",1.44,
"April 8, 1955",1.44,
