"GoodFit","CSE"
"TRUE",17
"TRUE",17
"TRUE",NA
"FALSE",NA
"TRUE",NA
"TRUE",20
"TRUE",15
"TRUE",NA
"TRUE",NA
"FALSE",NA
"FALSE",NA
"FALSE",NA
"FALSE",NA
"FALSE",NA
"TRUE",17
"FALSE",19
"FALSE",NA
"TRUE",11
"FALSE",21
"FALSE",NA
"TRUE",NA
"TRUE",NA
"TRUE",NA
"FALSE",NA
"TRUE",NA
"FALSE",17
"TRUE",NA
"TRUE",13
"FALSE",21
"FALSE",NA
"TRUE",21
"FALSE",21
"TRUE",21
"FALSE",21
"TRUE",NA
"TRUE",21
"TRUE",21
"TRUE",21
"FALSE",13
"TRUE",21
"FALSE",21
"TRUE",21
"TRUE",21
"TRUE",21
"TRUE",21
"TRUE",21
"TRUE",21
"TRUE",21
"FALSE",21
"FALSE",NA
"TRUE",21
"FALSE",21
"TRUE",NA
"TRUE",21
"TRUE",21
"TRUE",NA
"TRUE",14
"FALSE",13
"FALSE",35
"FALSE",20
"TRUE",NA
"TRUE",NA
"FALSE",NA
"TRUE",45
"TRUE",NA
"TRUE",NA
"FALSE",19
"FALSE",NA
"FALSE",NA
"FALSE",NA
"TRUE",20
"FALSE",17
"FALSE",NA
"FALSE",NA
"FALSE",NA
"FALSE",NA
"FALSE",NA
"FALSE",NA
"FALSE",NA
"FALSE",11
"TRUE",10
"TRUE",11
"TRUE",10
"TRUE",10
"TRUE",11
"TRUE",11
"TRUE",12
"TRUE",12
"TRUE",14
"TRUE",12
"TRUE",12
"TRUE",16
"TRUE",19
"FALSE",15
"TRUE",10
"TRUE",7
