"Onset","Teacher","Class","TeacherIntensity","StudentIntensity","Tintensity","Sintensity"
10.5,2,1,1,2,1,1
12.5,3,1,1,2,1,1
43,2,1,1,1,1,1
49,2,2,1,1,1,1
51.5,2,3,1,1,1,1
57,2,2,2,1,1,1
59.5,2,3,2,1,1,1
60.5,2,2,2,1,1,1
65.5,2,3,2,1,1,1
139,2,4,5,2,2,1
145,2,3,6,2,2,1
146,2,4,5,2,2,1
178,1,4,5,3,2,1
179.5,2,4,5,4,2,2
198.5,2,3,5,3,2,1
223.5,2,2,4,2,2,1
234,2,1,3,1,1,1
264,3,1,2,2,1,1
267,2,1,2,2,1,1
268,3,1,2,2,1,1
271.5,2,1,2,2,1,1
274,3,1,2,2,1,1
290,3,2,2,1,1,1
292,3,1,2,2,1,1
324.5,2,2,1,1,1,1
327,2,3,2,1,1,1
340.5,2,4,2,2,1,1
405.5,1,4,6,6,2,2
410.5,2,4,6,6,2,2
417.5,1,4,5,6,2,2
438.5,1,3,6,6,2,2
449.5,2,3,6,6,2,2
453.5,1,3,6,6,2,2
464.5,2,3,6,5,2,2
465,1,3,6,5,2,2
472.5,2,3,7,4,3,2
495.5,1,3,6,6,2,2
570,2,3,7,6,3,2
593.5,2,4,6,6,2,2
594.5,2,3,6,6,2,2
